sentence1,sentence2,label,,,,
im suicidal,"anxiety, depression, loneliness",1,,,,
deprressed,hopeless,1,,,,
i'm there for my coworkers but they rarely help me when I need it.,Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,0,,,,
"Im tired, I havent been in civilisation for a month, Im in the army, I need company.",I constantly think my kids would be better off without me.,0,,,,
my relationship makes me feel more stressed.,my life makes me feel,0,,,,
relationship issues,husband doesnt want to talk about problems,1,,,,
"He's never there, he's never listening, he doesn't care…",I have left school but the bullies have never left my mind.  They still mock me.,0,,,,
life value,depprison and schizophrénie,0,,,,
test answers,stress,0,,,,
I feel so alone..,I'm gay and no one knows. Should I tell people?,0,,,,
i am lonely and bored,"depressed, i feel sad and lonely in life even with loved one's',even if i care for somone i wouldn't hesitate to harm them emotionally or physically im also having 'love life' problems, i also believe i have glossophobia and haphephobia and life in general is saddening and upsetting to me i also feel empty",1,,,,
friend problems,"my friend, we both like each other, went through a toxic relationship in the past and it's leading to insecurity, self hate, fear of losing me, fear of getting way too attached, etc.",0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,How do you get over an abusive past?,0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
"I feel like I don't matter to him, by his actions.",I have left school but the bullies have never left my mind.  They still mock me.,0,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
im in a very unhealthy relationship,i think i'm passively suicidal,0,,,,
my family makes me feel overwhelmed.,family issues,1,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.","I feel like I don't matter to him, by his actions.",0,,,,
"I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet",I feel so alone..,0,,,,
breakup,confusion,0,,,,
My boyfriend hurts me so much…,So nervous for school it's starting tomorrow,0,,,,
i hate my life,escort,0,,,,
Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,How do you get over an abusive past?,0,,,,
struggle,quaintness,0,,,,
my something makes me feel,i feel sad and tired,1,,,,
can I hide a pregnancy from my mom?,I constantly think my kids would be better off without me.,0,,,,
"hi, im very nervous and scared right now this is something that ive never talked about in my life i dont want to put stress on anyone im 14 and i made a mistake in my life 3/4 years ago my mind is toxic ive had suicidal thoughts and i think i have ocd",friendship problem drama enemies,0,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .","I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",1,,,,
I don't know if I'm ever going to fully outgrow my trauma.,Having a bipolar Mom means I never know which Mom I get that day.,0,,,,
Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,School makes me feel lost out of control,0,,,,
this guy cheated on me a lot but we were never official so i finally moved on but no guy could compare so i went back and he claims he feels horrible about what he did to me and that he wants to make it right because he says we were meant to be together and i don’t know what to belive,homophobia,0,,,,
talk,talk,1,,,,
hurting so bad i don’t know what to do anymore,"lgbtq, bored, reltionship issues, vent, lonely",0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,I cry literally every night just because I know when I wake up I have to go to school,0,,,,
Work makes me feel negative,i feel i am getting apart fron my family,0,,,,
"i don't know how to accept my sexuality. but i don't know if i'm bi or gay. there is so much bi-phobia and it sucks. i don't know if i could ever be with a woman, but i think girls are hot. and i like them a lot more than guys. BUT IDKIDK.",I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
missing you baby,"self harm, depresion, and thoughts of suicide",0,,,,
When your boss says I don't care more than any other phrase...,Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,0,,,,
i am depressed due to losing my fallen apart life i have considered suicide,depression,1,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.","I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,0,,,,
